Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Max Muncy,LAD,3B,32,136,464,69,91,22,1,21,69,2,0,90,141,0,6,5,.196,.329,.384,.713
Hunter Dozier,KC,3B,31,129,462,51,109,26,4,12,41,4,3,34,125,0,1,3,.236,.292,.387,.679
Mark Canha,NYM,OF,34,140,462,71,123,24,0,13,61,3,1,48,97,0,4,28,.266,.367,.403,.770
MJ Melendez,KC,C,24,129,460,57,100,21,3,18,62,2,3,66,131,0,7,1,.217,.313,.393,.706
Jesse Winker,SEA,OF,29,136,456,51,100,15,0,14,53,0,0,84,103,0,3,4,.219,.344,.344,.688
Trent Grisham,SD,OF,26,152,451,58,83,16,2,17,53,7,1,57,150,7,2,7,.184,.284,.341,.625
Nelson Cruz,WAS,DH,42,124,448,50,105,16,0,10,64,4,0,49,119,0,3,4,.234,.313,.337,.650
Josh Rojas,ARI,2B,28,125,443,66,119,25,1,9,56,23,3,55,98,5,5,2,.269,.349,.391,.740
Mike Trout,LAA,OF,31,119,438,85,124,28,2,40,80,1,0,54,139,0,1,6,.283,.369,.630,.999
Geraldo Perdomo,ARI,SS,23,148,431,58,84,10,2,5,40,9,2,50,103,12,2,5,.195,.285,.262,.547
